index	value	noise	anomCode
0	0	F	0
1	-0.4	F	0
2	-0.2	F	0
3	-0.3	F	0
4	-0.2	F	0
5	0	F	0
6	0.5	F	0
7	0.8	F	0
8	0.7	F	0
9	-0.1	F	0
10	-0.8	F	0
11	-0.8	F	0
12	0	F	0
13	0.1	F	0
14	0	F	0
15	0	F	0
16	-0.4	F	0
17	-0.2	F	0
18	-0.3	F	0
19	-0.2	F	0
20	0	F	0
21	0.5	F	0
22	0.8	F	0
23	0.7	F	0
24	-0.1	F	0
25	-0.8	F	0
26	-0.8	F	0
27	0	F	0
28	0.1	F	0
29	0	F	0
30	0	F	0
31	-0.4	F	0
32	-0.2	F	0
33	-0.3	F	0
34	-0.2	F	0
35	0	F	0
36	0.5	F	0
37	0.8	F	0
38	0.7	F	0
39	-0.1	F	0
40	-0.8	F	0
41	-0.8	F	0
42	0	F	0
43	0.1	F	0
44	0	F	0
45	0	F	0
46	-0.4	F	0
47	-0.2	F	0
48	-0.3	F	0
49	-0.2	F	0
50	0	F	0
51	0.5	F	0
52	0.8	F	0
53	0.7	F	0
54	-0.1	F	0
55	-0.8	F	0
56	-0.8	F	0
57	0	F	0
58	0.1	F	0
59	0	F	0
60	0	F	0
61	-0.4	F	0
62	-0.2	F	0
63	-0.3	F	0
64	-0.2	F	0
65	0	F	0
66	0.5	F	0
67	0.8	F	0
68	0.7	F	0
69	-0.1	F	0
70	-0.8	F	0
71	-0.8	F	0
72	0	F	0
73	0.1	F	0
74	0	F	0
75	0	F	0
76	-0.4	F	0
77	-0.2	F	0
78	-0.3	F	0
79	-0.2	F	0
80	0	F	0
81	0.5	F	0
82	0.8	F	0
83	0.7	F	0
84	-0.1	F	0
85	-0.8	F	0
86	-0.8	F	0
87	0	F	0
88	0.1	F	0
89	0	F	0
90	0	F	0
91	-0.4	F	0
92	-0.2	F	0
93	-0.3	F	0
94	-0.2	F	0
95	0	F	0
96	0.5	F	0
97	0.8	F	0
98	0.7	F	0
99	-0.1	F	0
100	-0.8	F	0
101	-0.8	F	0
102	0	F	0
103	0.1	F	0
104	0	F	0
105	0	F	0
106	-0.4	F	0
107	-0.2	F	0
108	-0.3	F	0
109	-0.2	F	0
110	0	F	0
111	0.5	F	0
112	0.8	F	0
113	0.7	F	0
114	-0.1	F	0
115	-0.8	F	0
116	-0.8	F	0
117	0	F	0
118	0.1	F	0
119	0	F	0
120	0	F	0
121	-0.4	F	0
122	-0.2	F	0
123	-0.3	F	0
124	-0.2	F	0
125	0	F	0
126	0.5	F	0
127	0.8	F	0
128	0.7	F	0
129	-0.1	F	0
130	-0.8	F	0
131	-0.8	F	0
132	0	F	0
133	0.1	F	0
134	0	F	0
135	0	F	0
136	-0.4	F	0
137	-0.2	F	0
138	-0.3	F	0
139	-0.2	F	0
140	0	F	0
141	0.5	F	0
142	0.8	F	0
143	0.7	F	0
144	-0.1	F	0
145	-0.8	F	0
146	-0.8	F	0
147	0	F	0
148	0.1	F	0
149	0	F	0
150	0	F	0
151	-0.4	F	0
152	-0.2	F	0
153	-0.3	F	0
154	-0.2	F	0
155	0	F	0
156	0.5	F	0
157	0.8	F	0
158	0.7	F	0
159	-0.1	F	0
160	-0.8	F	0
161	-0.8	F	0
162	0	F	0
163	0.1	F	0
164	0	F	0
165	0	F	0
166	-0.4	F	0
167	-0.2	F	0
168	-0.3	F	0
169	-0.2	F	0
170	0	F	0
171	0.5	F	0
172	0.8	F	0
173	0.7	F	0
174	-0.1	F	0
175	-0.8	F	0
176	-0.8	F	0
177	0	F	0
178	0.1	F	0
179	0	F	0
180	0	F	0
181	-0.4	F	0
182	-0.2	F	0
183	-0.3	F	0
184	-0.2	F	0
185	0	F	0
186	0.5	F	0
187	0.8	F	0
188	0.7	F	0
189	-0.1	F	0
190	-0.8	F	0
191	-0.8	F	0
192	0	F	0
193	0.1	F	0
194	0	F	0
195	0	F	0
196	-0.4	F	0
197	-0.2	F	0
198	-0.3	F	0
199	-0.2	F	0
200	0	F	0
201	0.5	F	0
202	0.8	F	0
203	0.7	F	0
204	-0.1	F	0
205	-0.8	F	0
206	-0.8	F	0
207	0	F	0
208	0.1	F	0
209	0	F	0
210	0	F	0
211	-0.4	F	0
212	-0.2	F	0
213	-0.3	F	0
214	-0.2	F	0
215	0	F	0
216	0.5	F	0
217	0.8	F	0
218	0.7	F	0
219	-0.1	F	0
220	-0.8	F	0
221	-0.8	F	0
222	0	F	0
223	0.1	F	0
224	0	F	0
225	0	F	0
226	-0.4	F	0
227	-0.2	F	0
228	-0.3	F	0
229	-0.2	F	0
230	0	F	0
231	0.5	F	0
232	0.8	F	0
233	0.7	F	0
234	-0.1	F	0
235	-0.8	F	0
236	-0.8	F	0
237	0	F	0
238	0.1	F	0
239	0	F	0
240	0	F	0
241	-0.4	F	0
242	-0.2	F	0
243	-0.3	F	0
244	-0.2	F	0
245	0	F	0
246	0.5	F	0
247	0.8	F	0
248	0.7	F	0
249	-0.1	F	0
250	-0.8	F	0
251	-0.8	F	0
252	0	F	0
253	0.1	F	0
254	0	F	0
255	0	F	0
256	-0.4	F	0
257	-0.2	F	0
258	-0.3	F	0
259	-0.2	F	0
260	0	F	0
261	0.5	F	0
262	0.8	F	0
263	0.7	F	0
264	-0.1	F	0
265	-0.8	F	0
266	-0.8	F	0
267	0	F	0
268	0.1	F	0
269	0	F	0
270	0	F	0
271	-0.4	F	0
272	-0.2	F	0
273	-0.3	F	0
274	-0.2	F	0
275	0	F	0
276	0.5	F	0
277	0.8	F	0
278	0.7	F	0
279	-0.1	F	0
280	-0.8	F	0
281	-0.8	F	0
282	0	F	0
283	0.1	F	0
284	0	F	0
285	0	F	0
286	-0.4	F	0
287	-0.2	F	0
288	-0.3	F	0
289	-0.2	F	0
290	0	F	0
291	0.5	F	0
292	0.8	F	0
293	0.7	F	0
294	-0.1	F	0
295	-0.8	F	0
296	-0.8	F	0
297	0	F	0
298	0.1	F	0
299	0	F	0
300	0	F	0
301	-0.4	F	0
302	-0.2	F	0
303	-0.3	F	0
304	-0.2	F	0
305	0	F	0
306	0.5	F	0
307	0.8	F	0
308	0.7	F	0
309	-0.1	F	0
310	-0.8	F	0
311	-0.8	F	0
312	0	F	0
313	0.1	F	0
314	0	F	0
315	0	F	0
316	-0.4	F	0
317	-0.2	F	0
318	-0.3	F	0
319	-0.2	F	0
320	0	F	0
321	0.5	F	0
322	0.8	F	0
323	0.7	F	0
324	-0.1	F	0
325	-0.8	F	0
326	-0.8	F	0
327	0	F	0
328	0.1	F	0
329	0	F	0
330	0	F	0
331	-0.4	F	0
332	-0.2	F	0
333	-0.3	F	0
334	-0.2	F	0
335	0	F	0
336	0.5	F	0
337	0.8	F	0
338	0.7	F	0
339	-0.1	F	0
340	-0.8	F	0
341	-0.8	F	0
342	0	F	0
343	0.1	F	0
344	0	F	0
345	0	F	0
346	-0.4	F	0
347	-0.2	F	0
348	-0.3	F	0
349	-0.2	F	0
350	0	F	0
351	0.5	F	0
352	0.8	F	0
353	0.7	F	0
354	-0.1	F	0
355	-0.8	F	0
356	-0.8	F	0
357	0	F	0
358	0.1	F	0
359	0	F	0
360	0	F	0
361	-0.4	F	0
362	-0.2	F	0
363	-0.3	F	0
364	-0.2	F	0
365	0	F	0
366	0.5	F	0
367	0.8	F	0
368	0.7	F	0
369	-0.1	F	0
370	-0.8	F	0
371	-0.8	F	0
372	0	F	0
373	0.1	F	0
374	0	F	0
375	0	F	0
376	-0.4	F	0
377	-0.2	F	0
378	-0.3	F	0
379	-0.2	F	0
380	0	F	0
381	0.5	F	0
382	0.8	F	0
383	0.7	F	0
384	-0.1	F	0
385	-0.8	F	0
386	-0.8	F	0
387	0	F	0
388	0.1	F	0
389	0	F	0
390	0	F	0
391	-0.4	F	0
392	-0.2	F	0
393	-0.3	F	0
394	-0.2	F	0
395	0	F	0
396	0.5	F	0
397	0.8	F	0
398	0.7	F	0
399	-0.1	F	0
400	-0.8	F	0
401	-0.8	F	0
402	0	F	0
403	0.1	F	0
404	0	F	0
405	0	F	0
406	-0.4	F	0
407	-0.2	F	0
408	-0.3	F	0
409	-0.2	F	0
410	0	F	0
411	0.5	F	0
412	0.8	F	0
413	0.7	F	0
414	-0.1	F	0
415	-0.8	F	0
416	-0.8	F	0
417	0	F	0
418	0.1	F	0
419	0	F	0
420	0	F	0
421	-0.4	F	0
422	-0.2	F	0
423	-0.3	F	0
424	-0.2	F	0
425	0	F	0
426	0.5	F	0
427	0.8	F	0
428	0.7	F	0
429	-0.1	F	0
430	-0.8	F	0
431	-0.8	F	0
432	0	F	0
433	0.1	F	0
434	0	F	0
435	0	F	0
436	-0.4	F	0
437	-0.2	F	0
438	-0.3	F	0
439	-0.2	F	0
440	0	F	0
441	0.5	F	0
442	0.8	F	0
443	0.7	F	0
444	-0.1	F	0
445	-0.8	F	0
446	-0.8	F	0
447	0	F	0
448	0.1	F	0
449	0	F	0
450	0	F	0
451	-0.4	F	0
452	-0.2	F	0
453	-0.3	F	0
454	-0.2	F	0
455	0	F	0
456	0.5	F	0
457	0.8	F	0
458	0.7	F	0
459	-0.1	F	0
460	-0.8	F	0
461	-0.8	F	0
462	0	F	0
463	0.1	F	0
464	0	F	0
465	0	F	0
466	-0.4	F	0
467	-0.2	F	0
468	-0.3	F	0
469	-0.2	F	0
470	0	F	0
471	0.5	F	0
472	0.8	F	0
473	0.7	F	0
474	-0.1	F	0
475	-0.8	F	0
476	-0.8	F	0
477	0	F	0
478	0.1	F	0
479	0	F	0
480	0	F	0
481	-0.4	F	0
482	-0.2	F	0
483	-0.3	F	0
484	-0.2	F	0
485	0	F	0
486	0.5	F	0
487	0.8	F	0
488	0.7	F	0
489	-0.1	F	0
490	-0.8	F	0
491	-0.8	F	0
492	0	F	0
493	0.1	F	0
494	0	F	0
495	0	F	0
496	-0.4	F	0
497	-0.2	F	0
498	-0.3	F	0
499	-0.2	F	0
500	0	F	0
501	0.5	F	0
502	0.8	F	0
503	0.7	F	0
504	-0.1	F	0
505	-0.8	F	0
506	-0.8	F	0
507	0	F	0
508	0.1	F	0
509	0	F	0
510	0	F	0
511	-0.4	F	0
512	-0.2	F	0
513	-0.3	F	0
514	-0.2	F	0
515	0	F	0
516	0.5	F	0
517	0.8	F	0
518	0.7	F	0
519	-0.1	F	0
520	-0.8	F	0
521	-0.8	F	0
522	0	F	0
523	0.1	F	0
524	0	F	0
525	0	F	0
526	-0.4	F	0
527	-0.2	F	0
528	-0.3	F	0
529	-0.2	F	0
530	0	F	0
531	0.5	F	0
532	0.8	F	0
533	0.7	F	0
534	-0.1	F	0
535	-0.8	F	0
536	-0.8	F	0
537	0	F	0
538	0.1	F	0
539	0	F	0
540	0	F	0
541	-0.4	F	0
542	-0.2	F	0
543	-0.3	F	0
544	-0.2	F	0
545	0	F	0
546	0.5	F	0
547	0.8	F	0
548	0.7	F	0
549	-0.1	F	0
550	-0.8	F	0
551	-0.8	F	0
552	0	F	0
553	0.1	F	0
554	0	F	0
555	0	F	0
556	-0.4	F	0
557	-0.2	F	0
558	-0.3	F	0
559	-0.2	F	0
560	0	F	0
561	0.5	F	0
562	0.8	F	0
563	0.7	F	0
564	-0.1	F	0
565	-0.8	F	0
566	-0.8	F	0
567	0	F	0
568	0.1	F	0
569	0	F	0
570	0	F	0
571	-0.4	F	0
572	-0.2	F	0
573	-0.3	F	0
574	-0.2	F	0
575	0	F	0
576	0.5	F	0
577	0.8	F	0
578	0.7	F	0
579	-0.1	F	0
580	-0.8	F	0
581	-0.8	F	0
582	0	F	0
583	0.1	F	0
584	0	F	0
585	0	F	0
586	-0.4	F	0
587	-0.2	F	0
588	-0.3	F	0
589	-0.2	F	0
590	0	F	0
591	0.5	F	0
592	0.8	F	0
593	0.7	F	0
594	-0.1	F	0
595	-0.8	F	0
596	-0.8	F	0
597	0	F	0
598	0.1	F	0
599	0	F	0
600	0	F	0
601	-0.4	F	0
602	-0.2	F	0
603	-0.3	F	0
604	-0.2	F	0
605	0	F	0
606	0.5	F	0
607	0.8	F	0
608	0.7	F	0
609	-0.1	F	0
610	-0.8	F	0
611	-0.8	F	0
612	0	F	0
613	0.1	F	0
614	0	F	0
615	0	F	0
616	-0.4	F	0
617	-0.2	F	0
618	-0.3	F	0
619	-0.2	F	0
620	0	F	0
621	0.5	F	0
622	0.8	F	0
623	0.7	F	0
624	-0.1	F	0
625	-0.8	F	0
626	-0.8	F	0
627	0	F	0
628	0.1	F	0
629	0	F	0
630	0	F	0
631	-0.4	F	0
632	-0.2	F	0
633	-0.3	F	0
634	-0.2	F	0
635	0	F	0
636	0.5	F	0
637	0.8	F	0
638	0.7	F	0
639	-0.1	F	0
640	-0.8	F	0
641	-0.8	F	0
642	0	F	0
643	0.1	F	0
644	0	F	0
645	0	F	0
646	-0.4	F	0
647	-0.2	F	0
648	-0.3	F	0
649	-0.2	F	0
650	0	F	0
651	0.5	F	0
652	0.8	F	0
653	0.7	F	0
654	-0.1	F	0
655	-0.8	F	0
656	-0.8	F	0
657	0	F	0
658	0.1	F	0
659	0	F	0
660	0	F	0
661	-0.4	F	0
662	-0.2	F	0
663	-0.3	F	0
664	-0.2	F	0
665	0	F	0
666	0.5	F	0
667	0.8	F	0
668	0.7	F	0
669	-0.1	F	0
670	-0.8	F	0
671	-0.8	F	0
672	0	F	0
673	0.1	F	0
674	0	F	0
675	0	F	0
676	-0.4	F	0
677	-0.2	F	0
678	-0.3	F	0
679	-0.2	F	0
680	0	F	0
681	0.5	F	0
682	0.8	F	0
683	0.7	F	0
684	-0.1	F	0
685	-0.8	F	0
686	-0.8	F	0
687	0	F	0
688	0.1	F	0
689	0	F	0
690	0	F	0
691	-0.4	F	0
692	-0.2	F	0
693	-0.3	F	0
694	-0.2	F	0
695	0	F	0
696	0.5	F	0
697	0.8	F	0
698	0.7	F	0
699	-0.1	F	0
700	-0.8	F	0
701	-0.8	F	0
702	0	F	0
703	0.1	F	0
704	0	F	0
705	0	F	0
706	-0.4	F	0
707	-0.2	F	0
708	-0.3	F	0
709	-0.2	F	0
710	0	F	0
711	0.5	F	0
712	0.8	F	0
713	0.7	F	0
714	-0.1	F	0
715	-0.8	F	0
716	-0.8	F	0
717	0	F	0
718	0.1	F	0
719	0	F	0
720	0	F	0
721	-0.4	F	0
722	-0.2	F	0
723	-0.3	F	0
724	-0.2	F	0
725	0	F	0
726	0.5	F	0
727	0.8	F	0
728	0.7	F	0
729	-0.1	F	0
730	-0.8	F	0
731	-0.8	F	0
732	0	F	0
733	0.1	F	0
734	0	F	0
735	0	F	0
736	-0.4	F	0
737	-0.2	F	0
738	-0.3	F	0
739	-0.2	F	0
740	0	F	0
741	0.5	F	0
742	0.8	F	0
743	0.7	F	0
744	-0.1	F	0
745	-0.8	F	0
746	-0.8	F	0
747	0	F	0
748	0.1	F	0
749	0	F	0
750	0	F	0
751	-0.4	F	0
752	-0.2	F	0
753	-0.3	F	0
754	-0.2	F	0
755	0	F	0
756	0.5	F	0
757	0.8	F	0
758	0.7	F	0
759	-0.1	F	0
760	-0.8	F	0
761	-0.8	F	0
762	0	F	0
763	0.1	F	0
764	0	F	0
765	0	F	0
766	-0.4	F	0
767	-0.2	F	0
768	-0.3	F	0
769	-0.2	F	0
770	0	F	0
771	0.5	F	0
772	0.8	F	0
773	0.7	F	0
774	-0.1	F	0
775	-0.8	F	0
776	-0.8	F	0
777	0	F	0
778	0.1	F	0
779	0	F	0
780	0	F	0
781	-0.4	F	0
782	-0.2	F	0
783	-0.3	F	0
784	-0.2	F	0
785	0	F	0
786	0.5	F	0
787	0.8	F	0
788	0.7	F	0
789	-0.1	F	0
790	-0.8	F	0
791	-0.8	F	0
792	0	F	0
793	0.1	F	0
794	0	F	0
795	0	F	0
796	-0.4	F	0
797	-0.2	F	0
798	-0.3	F	0
799	-0.2	F	0
800	0	F	0
801	0.5	F	0
802	0.8	F	0
803	0.7	F	0
804	-0.1	F	0
805	-0.8	F	0
806	-0.8	F	0
807	0	F	0
808	0.1	F	0
809	0	F	0
810	0	F	0
811	-0.4	F	0
812	-0.2	F	0
813	-0.3	F	0
814	-0.2	F	0
815	0	F	0
816	0.5	F	0
817	0.8	F	0
818	0.7	F	0
819	-0.1	F	0
820	-0.8	F	0
821	-0.8	F	0
822	0	F	0
823	0.1	F	0
824	0	F	0
825	0	F	0
826	-0.4	F	0
827	-0.2	F	0
828	-0.3	F	0
829	-0.2	F	0
830	0	F	0
831	0.5	F	0
832	0.8	F	0
833	0.7	F	0
834	-0.1	F	0
835	-0.8	F	0
836	-0.8	F	0
837	0	F	0
838	0.1	F	0
839	0	F	0
840	0	F	0
841	-0.4	F	0
842	-0.2	F	0
843	-0.3	F	0
844	-0.2	F	0
845	0	F	0
846	0.5	F	0
847	0.8	F	0
848	0.7	F	0
849	-0.1	F	0
850	-0.8	F	0
851	-0.8	F	0
852	0	F	0
853	0.1	F	0
854	0	F	0
855	0	F	0
856	-0.4	F	0
857	-0.2	F	0
858	-0.3	F	0
859	-0.2	F	0
860	0	F	0
861	0.5	F	0
862	0.8	F	0
863	0.7	F	0
864	-0.1	F	0
865	-0.8	F	0
866	-0.8	F	0
867	0	F	0
868	0.1	F	0
869	0	F	0
870	0	F	0
871	-0.4	F	0
872	-0.2	F	0
873	-0.3	F	0
874	-0.2	F	0
875	0	F	0
876	0.5	F	0
877	0.8	F	0
878	0.7	F	0
879	-0.1	F	0
880	-0.8	F	0
881	-0.8	F	0
882	0	F	0
883	0.1	F	0
884	0	F	0
885	0	F	0
886	-0.4	F	0
887	-0.2	F	0
888	-0.3	F	0
889	-0.2	F	0
890	0	F	0
891	0.5	F	0
892	0.8	F	0
893	0.7	F	0
894	-0.1	F	0
895	-0.8	F	0
896	-0.8	F	0
897	0	F	0
898	0.1	F	0
899	0	F	0
900	0	F	0
901	-0.4	F	0
902	-0.2	F	0
903	-0.3	F	0
904	-0.2	F	0
905	0	F	0
906	0.5	F	0
907	0.8	F	0
908	0.7	F	0
909	-0.1	F	0
910	-0.8	F	0
911	-0.8	F	0
912	0	F	0
913	0.1	F	0
914	0	F	0
915	0	F	0
916	-0.4	F	0
917	-0.2	F	0
918	-0.3	F	0
919	-0.2	F	0
920	0	F	0
921	0.5	F	0
922	0.8	F	0
923	0.7	F	0
924	-0.1	F	0
925	-0.8	F	0
926	-0.8	F	0
927	0	F	0
928	0.1	F	0
929	0	F	0
930	0	F	0
931	-0.4	F	0
932	-0.2	F	0
933	-0.3	F	0
934	-0.2	F	0
935	0	F	0
936	0.5	F	0
937	0.8	F	0
938	0.7	F	0
939	-0.1	F	0
940	-0.8	F	0
941	-0.8	F	0
942	0	F	0
943	0.1	F	0
944	0	F	0
945	0	F	0
946	-0.4	F	0
947	-0.2	F	0
948	-0.3	F	0
949	-0.2	F	0
950	0	F	0
951	0.5	F	0
952	0.8	F	0
953	0.7	F	0
954	-0.1	F	0
955	-0.8	F	0
956	-0.8	F	0
957	0	F	0
958	0.1	F	0
959	0	F	0
960	0	F	0
961	-0.4	F	0
962	-0.2	F	0
963	-0.3	F	0
964	-0.2	F	0
965	0	F	0
966	0.5	F	0
967	0.8	F	0
968	0.7	F	0
969	-0.1	F	0
970	-0.8	F	0
971	-0.8	F	0
972	0	F	0
973	0.1	F	0
974	0	F	0
975	0	F	0
976	-0.4	F	0
977	-0.2	F	0
978	-0.3	F	0
979	-0.2	F	0
980	0	F	0
981	0.5	F	0
982	0.8	F	0
983	0.7	F	0
984	-0.1	F	0
985	-0.8	F	0
986	-0.8	F	0
987	0	F	0
988	0.1	F	0
989	0	F	0
990	0	F	0
991	-0.4	F	0
992	-0.2	F	0
993	-0.3	F	0
994	-0.2	F	0
995	0	F	0
996	0.5	F	0
997	0.8	F	0
998	0.7	F	0
999	-0.1	F	0
1000	2.5	T 	2.D
1001	2.5	T	2.D
1002	0	F 	0
1003	0.1	F 	0
1004	0	F	0
1005	0	F	0
1006	-0.4	F	0
1007	-0.2	F	0
1008	-0.3	F	0
1009	-0.2	F	0
1010	0	F	0
1011	0.5	F	0
1012	0.8	F	0
1013	0.7	F	0
1014	-0.1	F	0
1015	-0.8	F	0
1016	-0.8	F	0
1017	0	F	0
1018	0.1	F	0
1019	0	F	0
1020	0	F	0
1021	-0.4	F	0
1022	-0.2	F	0
1023	-0.3	F	0
1024	-0.2	F	0
1025	0	F	0
1026	0.5	F	0
1027	0.8	F	0
1028	0.7	F	0
1029	-0.1	F	0
1030	-0.8	F	0
1031	-0.8	F	0
1032	0	F	0
1033	0.1	F	0
1034	0	F	0
1035	0	F	0
1036	-0.4	F	0
1037	-0.2	F	0
1038	-0.3	F	0
1039	-0.2	F	0
1040	0	F	0
1041	0.5	F	0
1042	0.8	F	0
1043	0.7	F	0
1044	-0.1	F	0
1045	-0.8	F	0
1046	-0.8	F	0
1047	0	F	0
1048	0.1	F	0
1049	0	F	0
1050	0	F	0
1051	-0.4	F	0
1052	-0.2	F	0
1053	-0.3	F	0
1054	-0.2	F	0
1055	0	F	0
1056	0.5	F	0
1057	0.8	F	0
1058	0.7	F	0
1059	-0.1	F	0
1060	-0.8	F	0
1061	-0.8	F	0
1062	0	F	0
1063	0.1	F	0
1064	0	F	0
1065	0	F	0
1066	-0.4	F	0
1067	-0.2	F	0
1068	-0.3	F	0
1069	-0.2	F	0
1070	0	F	0
1071	0.5	F	0
1072	0.8	F	0
1073	0.7	F	0
1074	-0.1	F	0
1075	-0.8	F	0
1076	-0.8	F	0
1077	0	F	0
1078	0.1	F	0
1079	0	F	0
1080	0	F	0
1081	-0.4	F	0
1082	-0.2	F	0
1083	-0.3	F	0
1084	-0.2	F	0
1085	0	F	0
1086	0.5	F	0
1087	0.8	F	0
1088	0.7	F	0
1089	-0.1	F	0
1090	-0.8	F	0
1091	-0.8	F	0
1092	0	F	0
1093	0.1	F	0
1094	0	F	0
